bnd_id,municipality,electricity demand (MWh/a_2017),VOLL (€/kWh),population,pop_employed,gross_wage(€/month),working_hours(h/a),net_wage(€/h),Total_Income(k€),Total_Tax_Collected(k€),SSC
05711,Bielefeld,514940.88385049,12.088559989403064,332552,208638.0,3257.221470019342,1602,14.638540925794596,6866965.0,1339243.0,0.205
05754,Gütersloh,562164.031312506,11.53368353099415,363049,225625.0,3133.276686313032,1638,14.179958800351107,7772497.0,1377718.0,0.205
05758,Herford,389496.12386294,10.882003457820717,251539,126249.0,3098.2443609022557,1629,14.402118601949164,4751258.0,779060.0,0.205
05762,Höxter,219206.639028767,10.706054338336221,141565,64464.0,3039.471684053651,1610,14.533735031268897,2562688.0,393270.0,0.205
05766,Lippe,540516.669227088,10.95495222760159,349069,159425.0,3174.5605427974947,1612,14.867342402096243,6461094.0,1071766.0,0.205
05770,Minden-Lübbecke,481889.171138527,11.021747608466917,311207,169657.0,3064.5319071791155,1626,14.165110953383634,5954773.0,1004461.0,0.205
05774,Paderborn,472838.467891798,11.455670483676611,305362,164047.0,3143.6202370872143,1597,14.66247112589582,6076639.0,1058993.0,0.205
05911,Bochum,566004.192826944,12.078056247177512,365529,185436.0,3376.168449197861,1592,15.740869032063252,6685815.0,1179792.0,0.205
05913,Dortmund,908322.074342351,11.64298625341288,586600,321786.0,3224.3172920065253,1616,14.882923495021743,10228298.0,1773593.0,0.205
05914,Hagen,290690.935929576,11.61501990458288,187730,98212.0,3195.6430722891564,1617,15.099645281129712,3080675.0,487660.0,0.205
05915,Hamm,277459.411679226,10.941234227441141,179185,82007.0,3025.5801282051284,1588,14.726221043346623,2786390.0,420472.0,0.205
05916,Herne,242317.288465453,10.632605378433624,156490,60750.0,3113.690476190476,1598,15.074660862945098,2280870.0,342781.0,0.205
05954,Ennepe-Ruhr-Kreis,502735.983424362,11.464720975414968,324670,147424.0,3396.175902602855,1610,15.577488016044368,6887891.0,1237120.0,0.205
05958,Hochsauerlandkreis,405061.1656142,11.853585090166215,261591,148943.0,3190.8986981285598,1613,14.936864348300125,5226363.0,866449.0,0.205
