TIME,GEO,UNIT,Value,FlagandFootnotes
2017,DE922,MIO_EUR,6692.9,e
2017,DE923,MIO_EUR,5001.84,e
2017,DE925,MIO_EUR,7736.92,e
2017,DE926,MIO_EUR,2240.99,e
2017,DE927,MIO_EUR,3727.96,e
2017,DE928,MIO_EUR,3952.97,e
2017,DE929,MIO_EUR,51089.13,e
2017,DE931,MIO_EUR,5221.15,e
2017,DE932,MIO_EUR,4465.2,e
2017,DE933,MIO_EUR,6084.61,e
2017,DE934,MIO_EUR,1235.22,e
2017,DE935,MIO_EUR,5019.48,e
2017,DE936,MIO_EUR,2278.79,e
2017,DE937,MIO_EUR,5428.25,e
2017,DE938,MIO_EUR,4483.47,e
2017,DE939,MIO_EUR,6175.1,e
2017,DE93A,MIO_EUR,2534.31,e
2017,DE93B,MIO_EUR,4193.21,e
2017,DE941,MIO_EUR,1761.44,e
2017,DE942,MIO_EUR,3436.58,e
2017,DE943,MIO_EUR,7614.19,e
2017,DE944,MIO_EUR,8235.75,e
2017,DE945,MIO_EUR,3123.23,e
2017,DE946,MIO_EUR,3688.73,e
2017,DE947,MIO_EUR,5129.7,e
2017,DE948,MIO_EUR,5696.64,e
2017,DE949,MIO_EUR,13456.91,e
2017,DE94A,MIO_EUR,2707.56,e
2017,DE94B,MIO_EUR,4233.37,e
2017,DE94C,MIO_EUR,4586.98,e
2017,DE94D,MIO_EUR,3068.56,e
2017,DE94E,MIO_EUR,10771.37,e
2017,DE94F,MIO_EUR,6131.75,e
2017,DE94G,MIO_EUR,3177.89,e
2017,DE94H,MIO_EUR,1434.75,e
2017,DEA11,MIO_EUR,48845.68,e
2017,DEA12,MIO_EUR,17537.64,e
2017,DEA13,MIO_EUR,24597.65,e
2017,DEA14,MIO_EUR,8942.95,e
2017,DEA15,MIO_EUR,8764.04,e
2017,DEA16,MIO_EUR,5904.69,e
2017,DEA17,MIO_EUR,5567.9,e
2017,DEA18,MIO_EUR,3846.77,e
2017,DEA19,MIO_EUR,4946.35,e
2017,DEA1A,MIO_EUR,12812.92,e
2017,DEA1B,MIO_EUR,9290.94,e
2017,DEA1C,MIO_EUR,19639.62,e
2017,DEA1D,MIO_EUR,18348.25,e
2017,DEA1E,MIO_EUR,8383.39,e
2017,DEA1F,MIO_EUR,12939.74,e
2017,DEA22,MIO_EUR,23153.04,e
2017,DEA23,MIO_EUR,64252.26,e
2017,DEA24,MIO_EUR,8140.67,e
2017,DEA26,MIO_EUR,7544.73,e
2017,DEA27,MIO_EUR,16904.71,e
2017,DEA28,MIO_EUR,5192.52,e
2017,DEA29,MIO_EUR,6359.01,e
2017,DEA2A,MIO_EUR,9691.68,e
2017,DEA2B,MIO_EUR,7338.15,e
2017,DEA2C,MIO_EUR,16799.73,e
2017,DEA2D,MIO_EUR,20655.14,e
2017,DEA31,MIO_EUR,2566.12,e
2017,DEA32,MIO_EUR,7694.61,e
2017,DEA33,MIO_EUR,17696.13,e
2017,DEA34,MIO_EUR,13398.51,e
2017,DEA35,MIO_EUR,6263.09,e
2017,DEA36,MIO_EUR,15496.06,e
2017,DEA37,MIO_EUR,14087.27,e
2017,DEA38,MIO_EUR,8607.34,e
2017,DEA41,MIO_EUR,12938.77,e
2017,DEA42,MIO_EUR,16655.65,e
2017,DEA43,MIO_EUR,8386.7,e
2017,DEA44,MIO_EUR,3925.25,e
2017,DEA45,MIO_EUR,10328.8,e
2017,DEA46,MIO_EUR,12610.58,e
2017,DEA47,MIO_EUR,10860.38,e
2017,DEA51,MIO_EUR,11758.72,e
2017,DEA52,MIO_EUR,21841.21,e
2017,DEA53,MIO_EUR,6308.88,e
2017,DEA54,MIO_EUR,5051,e
2017,DEA55,MIO_EUR,3613.98,e
2017,DEA56,MIO_EUR,9869.86,e
2017,DEA57,MIO_EUR,9296.18,e
2017,DEA58,MIO_EUR,15118.43,e
2017,DEA59,MIO_EUR,5407.41,e
2017,DEA5A,MIO_EUR,10993.3,e
2017,DEA5B,MIO_EUR,10356.47,e
2017,DEA5C,MIO_EUR,11869.45,e
2017,DEB11,MIO_EUR,8036.95,e
2017,DEB12,MIO_EUR,3305.6,e
2017,DEB13,MIO_EUR,3494.06,e
2017,DEB14,MIO_EUR,4820.76,e
2017,DEB15,MIO_EUR,2401.16,e
2017,DEB17,MIO_EUR,6653.81,e
2017,DEB18,MIO_EUR,5621.94,e
2017,DEB1A,MIO_EUR,3173.75,e
2017,DEB1B,MIO_EUR,6981.9,e
2017,DEB1C,MIO_EUR,1891.66,e
2017,DEB1D,MIO_EUR,3576.21,e
2017,DEB21,MIO_EUR,4779.04,e
2017,DEB22,MIO_EUR,3688.89,e
2017,DEB23,MIO_EUR,2759.14,e
2017,DEB24,MIO_EUR,1937.16,e
2017,DEB25,MIO_EUR,2991.17,e
2017,DEB31,MIO_EUR,1600.07,e
2017,DEB32,MIO_EUR,4820.54,e
2017,DEB33,MIO_EUR,1934.12,e
2017,DEB34,MIO_EUR,13993.55,e
2017,DEB35,MIO_EUR,11849.03,e
2017,DEB36,MIO_EUR,1646.61,e
2017,DEB37,MIO_EUR,1498.79,e
2017,DEB38,MIO_EUR,2599.53,e
2017,DEB39,MIO_EUR,3068.95,e
2017,DEB3A,MIO_EUR,1613.3,e
2017,DEB3B,MIO_EUR,3196.27,e
2017,DEB3C,MIO_EUR,3068.03,e
2017,DEB3D,MIO_EUR,2256.53,e
2017,DEB3E,MIO_EUR,4675.22,e
2017,DEB3F,MIO_EUR,2249.3,e
2017,DEB3G,MIO_EUR,1226.9,e
2017,DEB3H,MIO_EUR,2896.17,e
2017,DEB3I,MIO_EUR,2848.14,e
2017,DEB3J,MIO_EUR,7247.03,e
2017,DEB3K,MIO_EUR,1547.15,e
2017,DEC01,MIO_EUR,14431.29,e
2017,DEC02,MIO_EUR,2819.02,e
2017,DEC03,MIO_EUR,3463.18,e
2017,DEC04,MIO_EUR,6398.98,e
2017,DEC05,MIO_EUR,5585.55,e
2017,DEC06,MIO_EUR,2440.87,e
2017,DED21,MIO_EUR,21363.36,e
2017,DED2C,MIO_EUR,7773.29,e
2017,DED2D,MIO_EUR,6660.86,e
2017,DED2E,MIO_EUR,6777.44,e
2017,DED2F,MIO_EUR,5575.39,e
2017,DED41,MIO_EUR,8586.57,e
2017,DED42,MIO_EUR,7856.11,e
2017,DED43,MIO_EUR,8246.78,e
2017,DED44,MIO_EUR,5670.16,e
2017,DED45,MIO_EUR,9903.47,e
2017,DED51,MIO_EUR,20540.84,e
2017,DED52,MIO_EUR,6638.09,e
2017,DED53,MIO_EUR,5329.62,e
2017,DEE01,MIO_EUR,2485.53,e
2017,DEE02,MIO_EUR,6972.56,e
2017,DEE03,MIO_EUR,8045.48,e
2017,DEE04,MIO_EUR,2002.38,e
2017,DEE05,MIO_EUR,4542.8,e
2017,DEE06,MIO_EUR,2281.58,e
2017,DEE07,MIO_EUR,4942.55,e
2017,DEE08,MIO_EUR,4477.1,e
2017,DEE09,MIO_EUR,5074.27,e
2017,DEE0A,MIO_EUR,2894.61,e
2017,DEE0B,MIO_EUR,6251.16,e
2017,DEE0C,MIO_EUR,4925.56,e
2017,DEE0D,MIO_EUR,2900.59,e
2017,DEE0E,MIO_EUR,3221.09,e
2017,DEF01,MIO_EUR,3731.57,e
2017,DEF02,MIO_EUR,11579.94,e
2017,DEF03,MIO_EUR,8643.38,e
2017,DEF04,MIO_EUR,3183.62,e
2017,DEF05,MIO_EUR,4351.01,e
2017,DEF06,MIO_EUR,4433.19,e
2017,DEF07,MIO_EUR,5802.44,e
2017,DEF08,MIO_EUR,5192.96,e
2017,DEF09,MIO_EUR,9040.67,e
2017,DEF0A,MIO_EUR,2697.99,e
2017,DEF0B,MIO_EUR,7866.88,e
2017,DEF0C,MIO_EUR,5298.82,e
2017,DEF0D,MIO_EUR,8624.17,e
2017,DEF0E,MIO_EUR,4179.35,e
2017,DEF0F,MIO_EUR,7991.26,e
2017,DEG01,MIO_EUR,8358.11,e
2017,DEG02,MIO_EUR,2691.69,e
2017,DEG03,MIO_EUR,4511.37,e
2017,DEG04,MIO_EUR,1105.47,e
2017,DEG05,MIO_EUR,1956.69,e
2017,DEG06,MIO_EUR,2649.68,e
2017,DEG07,MIO_EUR,2230.11,e
2017,DEG09,MIO_EUR,2612.88,e
2017,DEG0A,MIO_EUR,1676.64,e
2017,DEG0B,MIO_EUR,3303.99,e
2017,DEG0C,MIO_EUR,3725.49,e
2017,DEG0D,MIO_EUR,1714.44,e
2017,DEG0E,MIO_EUR,1578.32,e
2017,DEG0F,MIO_EUR,3147.78,e
2017,DEG0G,MIO_EUR,2085.95,e
2017,DEG0H,MIO_EUR,1640.24,e
2017,DEG0I,MIO_EUR,2851.04,e
2017,DEG0J,MIO_EUR,1899.32,e
2017,DEG0K,MIO_EUR,2285.5,e
2017,DEG0L,MIO_EUR,2302.95,e
2017,DEG0M,MIO_EUR,2004.07,e
2017,DEG0N,MIO_EUR,1719.72,e
2017,DEG0P,MIO_EUR,3340.43,e
